ID,NOME,WHATSAPP,NICHO,CATEGORIA,CIDADE,PAIS,NOTA,AVALIACOES,STATUS,DATA_ENVIO,NUMERO_USADO,MENSAGEM_ENVIADA
209,Costa E Valle Advogados,552139623850,Sites desatualizados,Escritório de advocacia,Rio de Janeiro,BR,5,47,Pendente,,,
210,Judice & Araujo Barra e Lançamentos,5521999673830,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.8,46,Pendente,,,
211,Auto Mecânica Triunfo da Barra,5521970465213,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.6,44,Pendente,,,
212,Fernando Brandão Imóveis,5521999463606,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,43,Pendente,,,
213,Clínica Odontológica Odontomérita,5511913273880,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.8,42,Pendente,,,
214,Privilégio Imóveis,552120519005,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,42,Pendente,,,
215,Inova Imobiliária - Jaraguá,551145645354,Sites desatualizados,Imobiliária,São Paulo,BR,4.4,40,Pendente,,,
216,Consultório Dra. Patrícia Correa,5521979461511,Sites desatualizados,Dentista,Rio de Janeiro,BR,5,40,Pendente,,,
217,BBLAW - Baldini Blanck Advogados,5521991888150,Sites desatualizados,Advogado,Rio de Janeiro,BR,4.9,39,Pendente,,,
218,Instituto Cardo Aesthetic,5521996956545,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,39,Pendente,,,
219,Dentalmeida Clínica Odontológica,5511955777772,Sites desatualizados,Clínica odontológica,São Paulo,BR,5,37,Pendente,,,
220,Fast Sorriso Clínica Odontológica Tatuapé,5511917051099,Sites desatualizados,Dentista,São Paulo,BR,4.9,36,Pendente,,,
221,Pachecco & Reis Imóveis,551139188768,Sites desatualizados,Imobiliária,São Paulo,BR,4.4,35,Pendente,,,
222,Imobiliária Lapa,551138343620,Sites desatualizados,Imobiliária,São Paulo,BR,4.1,35,Pendente,,,
223,Rodrigues Auto Center - Bonsucesso RJ,552132583950,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,33,Pendente,,,
224,Perus Imóveis,551139154315,Sites desatualizados,Imobiliária,São Paulo,BR,3.3,32,Pendente,,,
225,KR CLINIC SAÚDE ESTÉTICA AVANÇADA,551155717068,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.4,32,Pendente,,,
226,Vinicius Machado Melo Advogado,5521999515509,Sites desatualizados,Escritório de advocacia,Rio de Janeiro,BR,4.9,32,Pendente,,,
227,FD Concept Odontologia Avançada,5521994472257,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.8,32,Pendente,,,
228,Cabeleireira Cristiane Mantovani,5521998388992,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,32,Pendente,,,
229,UNIQ CONCEPT,552122093184,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,5,31,Pendente,,,
230,Escritório Fernanda Carneiro Advocacia,5521991360534,Sites desatualizados,Advogado administrativo,Rio de Janeiro,BR,5,31,Pendente,,,
231,Clínica Dra. Thais Lopes Santa Cruz RJ,5521967708082,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,30,Pendente,,,
232,Natália Ferraz Estética Barra da Tijuca,5521980460855,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,29,Pendente,,,
233,Imobiliária A. Costa,552125605408,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,3.4,29,Pendente,,,
234,Murilo Cruz Escritório de Advocacia,5521983381230,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,28,Pendente,,,
235,Kicasa Imóveis,551139176774,Sites desatualizados,Imobiliária,São Paulo,BR,3.9,27,Pendente,,,
236,Huff Life Clínica de Estética e Emagrecimento,5551993345221,Sites desatualizados,Grupo médico,Rio de Janeiro,BR,4.9,27,Pendente,,,
237,Castellani & Fernandes Advogados,5521991127447,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,26,Pendente,,,
238,DRO Advogados,5521969845314,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,26,Pendente,,,
239,Noor odontologia,552138822615,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,26,Pendente,,,
240,Clínica Cáceres Odontologia,552124921366,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,25,Pendente,,,
241,Consultório Odontológico Dra Vani,5521992271257,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.8,23,Pendente,,,
242,Imobiliária Barra da Tijuca,5521988739170,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,23,Pendente,,,
243,Correia Lima Advogados,5521971313311,Sites desatualizados,Escritório de advocacia,Rio de Janeiro,BR,5,23,Pendente,,,
244,Kevin Rafael de Souza - Advocacia,5511962755277,Sites desatualizados,Serviços jurídicos,São Paulo,BR,5,22,Pendente,,,
245,Imobiliária RE/MAX Ocean Eagle Barra,5521994442402,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,22,Pendente,,,
246,Auto Mecânica Bom Sucesso,551155247835,Sites desatualizados,Oficina mecânica,São Paulo,BR,5,21,Pendente,,,
247,Hipólito e Mourão Advogados,5521997380156,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,21,Pendente,,,
248,MF Beauty Clinic,5521996157722,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,21,Pendente,,,
249,Futura Imobiliária,5521977348985,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.8,18,Pendente,,,
250,Tafain Studio de Beleza Sepetiba,5521995663431,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.7,18,Pendente,,,
251,Clinica de Estética Bellavance Ilha do Governador,5521998739967,Sites desatualizados,Clínica especializada,Rio de Janeiro,BR,5,17,Pendente,,,
252,Galdino Pimenta Takemi Ayoub Advogados,552131950240,Sites desatualizados,Escritório de advocacia,Rio de Janeiro,BR,4.4,16,Pendente,,,
253,Scarfon Imóveis Ltda.,551139178467,Sites desatualizados,Imobiliária,São Paulo,BR,4.3,15,Pendente,,,
254,Clínica de Estética Corpo Bueno Barra,5521999002085,Sites desatualizados,Centro estético,Rio de Janeiro,BR,5,15,Pendente,,,
255,Cardoso Machado Advocacia,551159218881,Sites desatualizados,Advogado,São Paulo,BR,4.9,14,Pendente,,,
256,CM CAR,5511982184751,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,14,Pendente,,,
257,Imobiliária do Rio,552130210040,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,4.9,14,Pendente,,,
258,Auto Mecânica Primos,5521966954876,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.1,14,Pendente,,,
259,Planeta Imóveis Negócios Imobiliários,551139185335,Sites desatualizados,Imobiliária,São Paulo,BR,4.3,12,Pendente,,,
260,LucenasCar Auto Center Oficina Mecânica,5511937500657,Sites desatualizados,Oficina mecânica,São Paulo,BR,5,12,Pendente,,,
261,Dany Auto Mecânica e Guincho 24 Horas,5511947909262,Sites desatualizados,Oficina mecânica,São Paulo,BR,5,11,Pendente,,,
262,Direção Imobiliária Zona Sul RJ,552135298088,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,11,Pendente,,,
263,Olegário Dental Studio,5521999561140,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,11,Pendente,,,
264,Vista Livre Imobiliária RJ,5521999472255,Sites desatualizados,Construtora,Rio de Janeiro,BR,5,11,Pendente,,,
265,Além do Olhar - Downtown Clínica de Estética,5521999140734,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,11,Pendente,,,
266,Mazzuca Advogados,5521990951915,Sites desatualizados,Advogado imobiliário,Rio de Janeiro,BR,5,9,Pendente,,,
267,Clinica de Estética Bela Leal Barra,5521964919841,Sites desatualizados,Clínica da saúde da mulher,Rio de Janeiro,BR,5,6,Pendente,,,
268,Prima Imobiliária,552124932020,Sites desatualizados,Desenvolvedora de imóveis,Rio de Janeiro,BR,3.2,5,Pendente,,,
269,Lucas da Rocha Fernandes Advogado,5511980703462,Sites desatualizados,Serviços jurídicos,São Paulo,BR,5,4,Pendente,,,
270,Sindy Menezes Beauty,5521971067650,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,4,Pendente,,,
271,Oficina do Massal,5521990642402,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,5,4,Pendente,,,
272,Imobiliária Thaís Rezende,551159208699,Sites desatualizados,Imobiliária,São Paulo,BR,4,3,Pendente,,,
273,Imobiliária MM,5511956540023,Sites desatualizados,Imobiliária,São Paulo,BR,3.7,3,Pendente,,,
274,Oficina Mecânica Automotiva Car Consert,5511972998181,Sites desatualizados,Mecânica para carros,São Paulo,BR,5,3,Pendente,,,
275,Dentistas Olegário Barra da Tijuca,5521968108228,Sites desatualizados,Dentista,Rio de Janeiro,BR,5,3,Pendente,,,
276,LM da Barra Auto Mecânica,5521964990093,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4,3,Pendente,,,
277,Homestead Imobiliária,552124341388,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,5,3,Pendente,,,
278,Iunni Imobiliária,5521995267662,Sites desatualizados,Imobiliária,Rio de Janeiro,BR,3,2,Pendente,,,
279,Leonardo Melo Advogados,552130887843,Sites desatualizados,Escritório de advocacia,Rio de Janeiro,BR,5,1,Pendente,,,
280,Josimóveis,5511992255945,Sites desatualizados,Imobiliária,São Paulo,BR,,,Pendente,,,
281,Melquides & Pinheiro,5511953121116,Sites desatualizados,Serviços jurídicos,São Paulo,BR,,,Pendente,,,
282,Auto Mecânica FBI,5521989938641,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,,,Pendente,,,
283,Rafaela Lima Beauty,5521993261179,Sites desatualizados,Salão de sobrancelhas,Rio de Janeiro,BR,,,Pendente,,,
284,Ana Paula Lara Beauty,5521988165218,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,,,Pendente,,,
285,TT Garage,5521967600851,Sites desatualizados,Loja de motocicletas,Rio de Janeiro,BR,4.7,355,Pendente,,,
286,Clínica de Estética - Zarah Flor,5511970653411,Sites desatualizados,Serviço de depilação a laser,São Paulo,BR,5,350,Pendente,,,
287,Studio Seven Beauty,5511965525171,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,218,Pendente,,,
288,Estética e Bem Estar Dra. Márcia Pantarotto,5511986619946,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,192,Pendente,,,
289,+Sorriso Odontologia Parelheiros,5511910549292,Sites desatualizados,Clínica odontológica,São Paulo,BR,4,154,Pendente,,,
290,Salão de Beleza & Head Spa Vila Mariana,5511957808331,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,153,Pendente,,,
291,Clínica Odontológica Eterna Aliança,5511984261031,Sites desatualizados,Clínica odontológica,São Paulo,BR,5,146,Pendente,,,
292,Salão de Beleza Bela Cintra Ipiranga,551122748527,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,142,Pendente,,,
293,WL Studio - Salão De Beleza - Aclimação,5511940718977,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.7,103,Pendente,,,
294,Studio G Salão de Beleza Liberdade,5511930376915,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,97,Pendente,,,
295,Salão De Beleza Beauty Capelli,5511996310690,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,97,Pendente,,,
296,Studio de Beleza Vânia cruz,5521997904006,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,88,Pendente,,,
297,Monkey Oficina Mecanica e Serviços Automotivos,5521974572148,Sites desatualizados,Mecânica para carros,Rio de Janeiro,BR,4.7,88,Pendente,,,
298,Clínica de Estética Jeane Lima Jardim Guanabara,5521981292080,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,63,Pendente,,,
299,Carpe Diem Salão de Beleza,551122747432,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,45,Pendente,,,
300,NUNES ADVOGADO RJ,5521995845021,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,38,Pendente,,,
301,Clínica Lakshmi Estética e Saúde,5521976576536,Sites desatualizados,Centro de bem-estar,Rio de Janeiro,BR,5,38,Pendente,,,
302,Angelo's Salon Itaim Paulista,5511958350112,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,36,Pendente,,,
303,Clínica Dr. Luís Eduardo Gaia Soares,5521989052672,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,35,Pendente,,,
304,Clínica Odontológica Sorria Penha,5511934602822,Sites desatualizados,Dentista,São Paulo,BR,4.8,28,Pendente,,,
305,Nonoh Hair Salão de Beleza,5511985096679,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,25,Pendente,,,
306,Clínica Odontológica Viviani Alexandre,5521999871410,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,17,Pendente,,,
307,Fabiana Cerqueira Advocacia,5511952789551,Sites desatualizados,Advogado trabalhista,São Paulo,BR,5,12,Pendente,,,
308,HR mecânicas automotiva,5521972691450,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,5,5,Pendente,,,
309,A&C IMOVEIS LTDA,551159263820,Sites desatualizados,Imobiliária de aluguel de residências,São Paulo,BR,5,3,Pendente,,,
310,"Zettler, Alves e Helfstein Advogados",551127371327,Sites desatualizados,Serviços jurídicos,São Paulo,BR,,,Pendente,,,
311,Oficina Do Mizinho,5521964692999,Sites desatualizados,Serviço de ar condicionado automotivo,Rio de Janeiro,BR,5,750,Pendente,,,
312,Salão de Beleza CASA MZX,5511992032906,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,677,Pendente,,,
313,Bem Odontologia Implantes Dentários,5511950402340,Sites desatualizados,Dentista,São Paulo,BR,4.9,370,Pendente,,,
314,Headmasters Aclimação Cabelo e Estética,5511942845795,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.7,292,Pendente,,,
315,Oficina do Francês - Carros Franceses,552125733930,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.7,289,Pendente,,,
316,Dente & Arte Odontologia Especializada,552122703839,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.8,212,Pendente,,,
317,MIABE Concept Salão de beleza,551120943751,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,207,Pendente,,,
318,Entre Elas Clínica de Estética,5521960110673,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,4.8,203,Pendente,,,
319,Auto Mecânica Brasil Europa,5521971091316,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.7,184,Pendente,,,
320,Clínica Sorria Mais Unidade 2,5521997293771,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,151,Pendente,,,
321,Dra Adriana Lima clinica de estetica,5521991545021,Sites desatualizados,Spa facial,Rio de Janeiro,BR,5,149,Pendente,,,
322,Clínica Odontológica Larissa Camanho,551120925800,Sites desatualizados,Dentista,São Paulo,BR,4.9,147,Pendente,,,
323,Clínica de Estética Karen Abreu,5511963149347,Sites desatualizados,Clínica da saúde da mulher,São Paulo,BR,4.9,144,Pendente,,,
324,Imobiliária Selo,551139337356,Sites desatualizados,Imobiliária,São Paulo,BR,3.9,142,Pendente,,,
325,Reboque Rio - Ilha,5521980223606,Sites desatualizados,Serviço de reboque,Rio de Janeiro,BR,5,133,Pendente,,,
326,Estética Roberta Santos,5511998694641,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,110,Pendente,,,
327,Clínica Sorria Mais,5521972225505,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,4.9,106,Pendente,,,
328,Nubelle,5511940484437,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.7,86,Pendente,,,
329,ESTÉTICA AVANÇADA CARLA NUNES,5511964461332,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,85,Pendente,,,
330,Horizontec Oficina Mecânica,5511966091180,Sites desatualizados,Mecânica para carros,São Paulo,BR,5,82,Pendente,,,
331,SPAZIO SANTARELLI Salão de Beleza Aclimação,551123651335,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,79,Pendente,,,
332,Eterna Magia Estética e Biomedicina,5511989294029,Sites desatualizados,Clínica especializada,São Paulo,BR,4.8,75,Pendente,,,
333,Casa Fakhama Estética Spa e Beleza,5511952260106,Sites desatualizados,Clínica especializada,São Paulo,BR,4.9,69,Pendente,,,
334,Li Hair Salão de Beleza Vila Heliopolis,5511984160096,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,68,Pendente,,,
335,SIBENS - imobiliária em Pirituba,5511974674113,Sites desatualizados,Imobiliária de aluguel de residências,São Paulo,BR,5,66,Pendente,,,
336,Innov Beauty Studio,551135679453,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,63,Pendente,,,
337,Studio Evelin Emmerich,5511997989941,Sites desatualizados,Studio de cílios,São Paulo,BR,4.9,62,Pendente,,,
338,Carol Antunes - Clínica de Estética Avançada,5511934179495,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.8,62,Pendente,,,
339,Clínica de Estética Dra. Jhennifer Martins,5521967108134,Sites desatualizados,Esteticista,Rio de Janeiro,BR,5,62,Pendente,,,
340,Clínica Ellus Estética,5521999822839,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,59,Pendente,,,
341,Salão de Beleza Karin Amaral Ipiranga,5511976100789,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,58,Pendente,,,
342,Makeface Salão de Beleza Ilha do Governador,552124674248,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.9,58,Pendente,,,
343,Marcelo e Sandra Salão de Beleza,5511987200872,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,55,Pendente,,,
344,Auto Mecânica MCarlito Car,551146476379,Sites desatualizados,Mecânica para carros,São Paulo,BR,4.9,53,Pendente,,,
345,ARTH'S CAR OFICINA MECÂNICA,5511959825104,Sites desatualizados,Oficina mecânica,São Paulo,BR,5,52,Pendente,,,
346,Studio de Beleza Inez Vila Mariana,5511977208752,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.7,48,Pendente,,,
347,Homenz Barra,5521996039977,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,47,Pendente,,,
348,CK Oral Clinic Dra Candyce K Tatsuno,5511940723348,Sites desatualizados,Clínica odontológica,São Paulo,BR,5,43,Pendente,,,
349,Clínica Sorria Rio - Unidade Tijuca,5521983400657,Sites desatualizados,Clínica odontológica,Rio de Janeiro,BR,5,43,Pendente,,,
350,Vconcept Salão de Beleza,551123654118,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,41,Pendente,,,
351,El Shaddai Mecânica Geral,551126362452,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,40,Pendente,,,
352,TOPCAR OFICINA MECÂNICA AUTOMOTIVA,5511982401764,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,36,Pendente,,,
353,Barbara Castro Biomedicina e Estética,5521999471972,Sites desatualizados,Clínica especializada,Rio de Janeiro,BR,5,35,Pendente,,,
354,Clínica de Estética Dra. Natasha Helfstein,5511945003666,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,32,Pendente,,,
355,Priscilla Morgado Advocacia,5521969449659,Sites desatualizados,Advogado,Rio de Janeiro,BR,5,28,Pendente,,,
356,Michelle Machado Estética e Esmalteria,5521969529447,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,28,Pendente,,,
357,Hair Therapy Salão e Clínica,5521969880131,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,26,Pendente,,,
358,Estúdio Lilian Barcelos,5521986039689,Sites desatualizados,Manicure,Rio de Janeiro,BR,5,26,Pendente,,,
359,Espaço Vania Marques,5521973539478,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,25,Pendente,,,
360,Clínica Althaea - Estética facial e corporal,5521985782005,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,25,Pendente,,,
361,Arrasa - Salão De Beleza,5511945422711,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,24,Pendente,,,
362,Studio de Unhas - Raquel Ferreira,5521986496788,Sites desatualizados,Manicure,Rio de Janeiro,BR,5,23,Pendente,,,
363,Salão de Beleza Nova Imagem,5511991070845,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,21,Pendente,,,
364,Raquel Lemos Liso de Luxo,5521971939439,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,21,Pendente,,,
365,Wall Fashion Cabeleireiros,5521998771072,Sites desatualizados,Cabeleireiro,Rio de Janeiro,BR,4.9,21,Pendente,,,
366,Estética Em Foco,5521992933588,Sites desatualizados,Esteticista,Rio de Janeiro,BR,5,17,Pendente,,,
367,Franco Rangel Advogados Associados,5521990413650,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,16,Pendente,,,
368,Tamara Gandra Estética Avançada,5521995751496,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,16,Pendente,,,
369,Studio Raena Mota,5521999109296,Sites desatualizados,Salão de sobrancelhas,Rio de Janeiro,BR,5,16,Pendente,,,
370,Oficina Eletromecânica MDC AutoStar,5521965720096,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,5,15,Pendente,,,
371,Dra Gabriela Lemos - Estética Avançada,5511993150129,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.8,13,Pendente,,,
372,Tutti Belle Esmalteria e Estética,5511952753773,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,13,Pendente,,,
373,Studio Bendita Beleza by Raquel Barros,5521976871299,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,13,Pendente,,,
374,Monkey Auto Car,5521981944669,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,5,12,Pendente,,,
375,Studio Divas Brasil,5521987456511,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,12,Pendente,,,
376,Studio Vivi Rocha,5521997146322,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,12,Pendente,,,
377,Studio Ana Souza,5521976279536,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,12,Pendente,,,
378,OFICINA BERAKAH MOTOS,5521998782628,Sites desatualizados,Oficina mecânica de motos,Rio de Janeiro,BR,5,11,Pendente,,,
379,Dra. Júlia Acri - Clínica de Estética,5521991775426,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,11,Pendente,,,
380,Espaço Maju By Ju Santos,5521988503264,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.9,11,Pendente,,,
381,Geovanna Louise Studio,5521999559260,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,11,Pendente,,,
382,Miranda Monteiro Advogados,5521998607153,Sites desatualizados,Serviços jurídicos,Rio de Janeiro,BR,5,9,Pendente,,,
383,Dra Juliana Avancini Busquets,551159202329,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.5,8,Pendente,,,
384,Clínica Belsanté Estética,5521993196779,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,8,Pendente,,,
385,Girls Pink,5511915948662,Sites desatualizados,Esteticista,São Paulo,BR,5,4,Pendente,,,
386,Oficina mecânica majucar,5511991957088,Sites desatualizados,Mecânica para carros,São Paulo,BR,5,1,Pendente,,,
387,Nobre Face - Clínica de Estética Avançada,5521998568261,Sites desatualizados,Centro estético,Rio de Janeiro,BR,5,1,Pendente,,,
388,Espaço da Beleza Sandra Lopes,5521967319498,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,1,Pendente,,,
389,Equipe Tucson,5511941662900,Sites desatualizados,Consultora de imóveis,São Paulo,BR,,,Pendente,,,
390,Clinica Ramalho Odontologia,5511915484141,Sites desatualizados,Clínica odontológica,São Paulo,BR,,,Pendente,,,
391,GC Auto Car,5521983231508,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,,,Pendente,,,
392,Cami Lopes - Lashes e Brows,5521993217528,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,,,Pendente,,,
393,Dieni karlem Studio,5521975892441,Sites desatualizados,Manicure,Rio de Janeiro,BR,,,Pendente,,,
394,Studio Nicole Carvalho,5521972069481,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,,,Pendente,,,
395,PAULA DIAS - Especialista em Loiras,552131539200,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,5,595,Pendente,,,
396,Lia Freitas Espaço Real,552135022072,Sites desatualizados,Salão de Beleza,Rio de Janeiro,BR,4.5,151,Pendente,,,
397,IRMÃOS Auto Mecânica e Elétrica,5521982756018,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.9,107,Pendente,,,
398,Conexão dos Cortes,5521975064629,Sites desatualizados,Barbearia,Rio de Janeiro,BR,5,106,Pendente,,,
399,Salão De Beleza Sempre Bella,551122861454,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.9,86,Pendente,,,
400,Oral Prime Clínica Odontológica,5511998202043,Sites desatualizados,Dentista,São Paulo,BR,4.9,72,Pendente,,,
401,Oral Prime Clinica Odontológica,551120554536,Sites desatualizados,Clínica odontológica,São Paulo,BR,4.5,70,Pendente,,,
402,Constantino Axcel Hair Studio,551123685988,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.5,47,Pendente,,,
403,Auto Mecanica Status,5511949421412,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.9,38,Pendente,,,
404,OFICINA MECÂNICA CHECK-UP,5511913484822,Sites desatualizados,Oficina mecânica,São Paulo,BR,4.8,19,Pendente,,,
405,injet eletromecânica,5521968780916,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.8,18,Pendente,,,
406,ODONTO DIAS São Paulo Parelheiros,551159204564,Sites desatualizados,Dentista,São Paulo,BR,5,6,Pendente,,,
407,Over Oil Automotive,5521981278263,Sites desatualizados,Oficina mecânica,Rio de Janeiro,BR,4.7,296,Pendente,,,
408,Moretto Clínica Odontológica,551133843244,Sites desatualizados,Dentista,São Paulo,BR,4.8,210,Pendente,,,
409,Vitrine Salão de Beleza,551123620818,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.6,169,Pendente,,,
410,Espaço 365 Salão de Beleza,5511987118447,Sites desatualizados,Salão de Beleza,São Paulo,BR,5,147,Pendente,,,
411,Borges&Oliver Salão de Beleza e Estética,5511995661007,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,114,Pendente,,,
412,Graziela Estética - Perus,5511970368452,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,109,Pendente,,,
413,Clínica Opitz Estética Avançada Ipiranga,5511930008004,Sites desatualizados,Clínica especializada,São Paulo,BR,5,73,Pendente,,,
414,Clínica Fique Bela Estética,5511976675082,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,4.9,69,Pendente,,,
415,Studio Vergueiro Salão de Beleza Sacomã,5511993583235,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.7,68,Pendente,,,
416,Esteticista - Raquel Ribeiro,5521994383822,Sites desatualizados,Centro de saúde e beleza,Rio de Janeiro,BR,5,63,Pendente,,,
417,Salão de Beleza Madison Hair Vila Prudente,5511947251171,Sites desatualizados,Salão de Beleza,São Paulo,BR,4.8,62,Pendente,,,
418,Estética Bersani,5511978126799,Sites desatualizados,Centro de saúde e beleza,São Paulo,BR,5,50,Pendente,,,
419,Escritório de Advocacia Dra Fabiana Proença,551139039937,Sites desatualizados,Advogado de Direito de Família,São Paulo,BR,5,46,Pendente,,,
